datum,titel_kurz_d,br_pos,annahme
1977-09-25,Initiative «für die Fristenlösung»,0,0
1977-12-04,«Reichtumssteuer-Initiative»,0,0
1977-12-04,Bundesgesetz über die politischen Rechte,1,1
1977-12-04,Einführung eines zivilen Ersatzdienstes,1,0
1977-12-04,Massnahmen zum Ausgleich des Bundeshaushaltes,1,1
1978-02-26,Initiative für mehr Mitbestimmung im Nationalstrassenbau,0,0
1978-02-26,9. AHV-Revision,1,1
1978-02-26,Initiative zur Herabsetzung des AHV-Alters,0,0
1978-02-26,Konjunkturartikel,1,1
1978-05-28,Zeitgesetz (Sommerzeit),1,0
1978-05-28,Zolltarifgesetz (Brotpreis),1,1
1978-05-28,Gesetz über den Schwangerschaftsabbruch,1,0
1978-05-28,Gesetz über die Hochschulförderung,1,0
1978-05-28,Initiative für 12 autofreie Sonntage pro Jahr,0,0
1978-09-24,Bundesbeschluss über die Gründung des Kantons Jura,1,1
1978-12-03,Milchwirtschaftsbeschluss,1,1
1978-12-03,Tierschutzgesetz ,1,1
1978-12-03,Sicherheitspolizeigesetz,1,0
1978-12-03,Berufsbildungsgesetz,1,1
1979-02-18,Bundesbeschluss über die Fuss- und Wanderwege,1,1
1979-02-18,Initiative «gegen Suchtmittelreklame»,0,0
1979-02-18,Atominitiative,0,0
1979-05-20,Neuordnung der Umsatzsteuer und der direkten Bundessteuer,1,0
1979-05-20,Atomgesetz,1,1
1980-03-02,Initiative zur «vollständigen Trennung von Kirche und Staat»,0,0
1980-03-02,Neuordnung der Landesversorgung,1,1
1980-11-30,Gurten- und Schutzhelmobligatorium,1,1
1980-11-30,Aufhebung des Kantonsanteils an den Stempelabgaben,1,1
1980-11-30,Abbau des Kantonsanteils an den Alkoholeinnahmen ,1,1
1980-11-30,Revision der Brotgetreideordnung,1,1
1981-04-05,Initiative «für eine neue Ausländerpolitik»,0,0
1981-06-14,Artikel zur Gleichstellung von Mann und Frau,1,1
1981-06-14,Konsumentenschutz-Artikel,1,1
1981-11-29,Weiterführung der Finanzordnung,1,1
1982-06-06,Revision des Strafgesetzes (Gewaltverbrechen),1,1
1982-06-06,Ausländergesetz,1,0
1982-11-28,Preisüberwachungs-Initiative,0,1
1982-11-28,Gegenentwurf zur Preisüberwachungs-Initiative,1,0
1983-02-27,Neuregelung der Treibstoffzölle,1,1
1983-02-27,Energieartikel,1,0
1983-12-04,Reform der Bürgerrechtsregelung in der Bundesverfassung,1,1
1983-12-04,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,1,0
1984-02-26,Einführung einer Schwerverkehrsabgabe,1,1
1984-02-26,Einführung der Autobahnvignette,1,1
1984-02-26,Zivildienst-Initiative,0,0
1984-05-20,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,0,0
1984-05-20,Initiative «Gegen den Ausverkauf der Heimat»,0,0
1984-09-23,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,0,0
1984-09-23,Initiative «für eine umweltgerechte Energieversorgung»,0,0
1984-12-02,Initiative «für einen wirksamen Schutz der Mutterschaft»,0,0
1984-12-02,Radio- und Fernsehartikel,1,1
1984-12-02,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,1,1
1985-03-10,Aufhebung der Bundesbeiträge für den Primarschulunterricht,1,1
1985-03-10,Aufhebung der Beitragspflicht des Bundes im Gesundheitswesen,1,1
1985-03-10,Bundesbeschluss über die Ausbildungsbeiträge,1,0
1985-03-10,Ferien-Initiative,0,0
1985-06-09,Initiative «Recht auf Leben»,0,0
1985-06-09,Aufhebung des Kantonsanteils an den Stempelabgaben,1,1
1985-06-09,Neuverteilung der Erträge aus der Alkoholabgabe,1,1
1985-06-09,Aufhebung der Unterstützung für die Selbstversorgung mit Brotgetreide,1,1
1985-09-22,Bundesbeschluss zur Koordination des Schuljahresbeginns,1,1
1985-09-22,Bundesbeschluss über die Innovationsrisikogarantie,1,0
1985-09-22,Neues Ehe- und Erbrecht,1,1
1985-12-01,Initiative «für die Abschaffung der Vivisektion»,0,0
1986-03-16,UNO-Beitritt,1,0
1986-09-28,Kulturinitiative,0,0
1986-09-28,Gegenentwurf zur Kulturinitiative,1,0
1986-09-28,Initiative zur Berufsbildung und Umschulung,0,0
1986-09-28,Bundesbeschluss über die Zuckerwirtschaft,1,0
1986-12-07,Bundesbeschluss zum Mieterschutz,1,1
1986-12-07,Initiative für eine Schwerverkehrsabgabe,0,0
1987-04-05,Asylgesetz,1,1
1987-04-05,Ausländergesetz,1,1
1987-04-05,Initiative für die Einführung eines Rüstungsreferendums,0,0
1987-04-05,Abstimmungsverfahren bei Volksinitiativen mit Gegenentwurf,1,1
1987-12-06,Bahn 2000,1,1
1987-12-06,Krankenversicherungsgesetz,1,0
1987-12-06,Initiative «zum Schutz der Moore - Rothenthurm-Initiative»,0,1
1988-06-12,Verfassungsgrundlagen für eine koordinierte Verkehrspolitik,1,0
1988-06-12,Initiative zur Herabsetzung des AHV-Rentenalters,0,0
1988-12-04,«Stadt-Land-Initiative gegen die Bodenspekulation»,0,0
