datum,titel_kurz_d,p_svp,annahme
1952-10-05 22:00:00,Tabakzölle und Tabakkontingentierung,1,1
1952-10-05 23:00:00,Bundesbeschluss über den Einbau von Luftschutzräumen,1,0
1952-11-23 00:00:00,Befristete Weiterführung der Preiskontrolle,1,1
1952-11-23 01:00:00,Beschluss zur Brotgetreideversorgung des Landes,1,1
1953-04-19 02:00:00,Postverkehrsgesetz,1,0
1953-12-06 03:00:00,Neuordnung des Finanzhaushalts,1,0
1953-12-06 04:00:00,Verfassungsartikel über den Schutz der Gewässer ,1,1
1954-06-20 05:00:00,Bundesbeschluss über Fähigkeitsausweise,1,0
1954-06-20 06:00:00,Hilfe an kriegsgeschädigte Auslandschweizer,1,0
1954-10-24 07:00:00,Finanzordnung 1955 bis 1958,1,1
1954-12-05 08:00:00,Initiative zum Schutz der Stromlandschaft Rheinau,0,0
1955-03-13 09:00:00,Mieter- und Konsumentenschutzinitiative,0,0
1956-03-04 11:00:00,Befristete Weiterführung einer beschränkten Preiskontrolle,1,1
1956-05-13 12:00:00,Initiative zur Erweiterung der Volksrechte bei Wasserrechtskonzessionen,0,0
1956-05-13 13:00:00,Gewährung einer Hilfe an die Holzverzuckerungs-AG Graubünden,1,0
1956-09-30 14:00:00,Revision der Brotgetreideordnung ,1,0
1956-09-30 15:00:00,Beschluss betreffend Ausgabenbeschlüsse der Bundesversammlung,66,0
1957-03-03 16:00:00,Zivilschutzartikel,1,0
1957-03-03 17:00:00,Verfassungsartikel betreffend Rundspruch und Fernsehen,1,0
1957-11-24 18:00:00,Verfassungsartikel zu Atomenergie und Strahlenschutz,1,1
1957-11-24 19:00:00,Beschluss zur Brotgetreideversorgung des Landes,1,1
1958-01-26 20:00:00,Initiative «gegen den Missbrauch wirtschaftlicher Macht»,0,0
1958-05-11 21:00:00,Neuordnung des Finanzhaushalts,1,1
1958-07-06 22:00:00,Verfassungsartikel zum Filmwesen,1,1
1958-07-06 23:00:00,Bundesbeschluss über die Verbesserung des Strassennetzes,1,1
1958-10-26 00:00:00,Initiative «zur Einführung der 44-Stunden-Woche»,0,0
1958-12-07 01:00:00,Erhöhung des Höchsteinsatzes bei Kursaalspielen,1,1
1958-12-07 02:00:00,Abkommen mit Italien zur Wasserkraft des Spöl,1,1
1959-02-01 03:00:00,Einführung des Frauenstimmrechts,0,0
1959-05-24 04:00:00,Zivilschutzartikel,1,1
1960-05-29 05:00:00,Weiterführung befristeter Preiskontrollmassnahmen,1,1
1960-12-04 06:00:00,Massnahmen für die Milchwirtschaft,1,1
1961-03-05 07:00:00,Artikel betreffend Leitungsanlagen für Treibstoffe,1,1
1961-03-05 08:00:00,Treibstoffzoll zur Finanzierung der Nationalstrassen,1,0
1961-10-22 09:00:00,Volksinitiative zur Einführung der Gesetzesinitiative,0,0
1961-12-03 10:00:00,Uhrenstatut,1,1
1962-04-01 11:00:00,Initiative «für ein Verbot der Atomwaffen»,0,0
1962-05-27 12:00:00,Natur- und Heimatschutz-Artikel,1,1
1962-05-27 13:00:00,Gesetz über die Taggelder des Nationalrates,66,0
1962-11-04 14:00:00,Festsetzung der Mitgliederzahl des Nationalrates,1,1
1963-05-26 15:00:00,Initiative für ein Referendum gegen Atomwaffen,0,0
1963-12-08 16:00:00,Weiterführung der Finanzordnung ,1,1
1963-12-08 17:00:00,Artikel über Stipendien und Ausbildungsbeihilfen,1,1
1964-02-02 18:00:00,Erlass einer allgemeinen Steueramnestie,1,0
1964-05-24 19:00:00,Berufsbildungsgesetz,1,1
1964-12-06 20:00:00,Weiterführung befristeter Preiskontrollmassnahmen,1,1
1965-02-28 21:00:00,Bekämpfung der Teuerung durch Massnahmen im Kreditwesen,1,1
1965-02-28 22:00:00,Bekämpfung der Teuerung durch Massnahmen in der Bauwirtschaft,1,1
1965-05-16 23:00:00,Milchbeschluss,1,1
1966-10-16 00:00:00,Auslandschweizer-Artikel,1,1
1966-10-16 01:00:00,Initiative «zur Bekämpfung des Alkoholismus»,0,0
1967-07-02 02:00:00,Initiative «gegen die Bodenspekulation»,0,0
1968-02-18 03:00:00,Erlass einer allgemeinen Steueramnestie,1,1
1968-05-19 04:00:00,Gesetz über die Tabakbesteuerung,1,0
1969-06-01 05:00:00,Gesetz über die Eidgenössischen Technischen Hochschulen,66,0
1969-09-14 06:00:00,Verfassungsrechtliche Ordnung des Bodenrechts,1,1
1970-02-01 07:00:00,Bundesbeschluss über die inländische Zuckerwirtschaft,1,1
1970-06-07 08:00:00,Initiative «Gegen die Überfremdung»,0,0
1970-09-27 09:00:00,Verfassungsartikel zur Förderung von Turnen und Sport,1,1
1970-09-27 10:00:00,Initiative «Recht auf Wohnung und Ausbau des Familienschutzes»,0,0
1970-11-15 11:00:00,Änderung der Finanzordnung,1,0
1971-02-07 12:00:00,Einführung des Frauenstimmrechts,1,1
1971-06-06 13:00:00,Umweltschutzartikel,1,1
1971-06-06 14:00:00,Weiterführung der Finanzordnung,1,1
1972-03-05 15:00:00,Initiative «zur Förderung des Wohnungsbaues»,0,0
1972-03-05 17:00:00,Verfassungsartikel über den Mieterschutz und die Allgemeinverbindlicherklärung von Mietverträgen,1,1
1972-06-04 18:00:00,Massnahmen zur Stabilisierung des Baumarktes,1,1
1972-06-04 19:00:00,Bundesbeschluss über den Schutz der Währung,1,1
1972-09-24 20:00:00,Initiative für ein Waffenausfuhrverbot,0,0
1972-12-03 21:00:00,Initiative zur Einführung einer Volkspension,0,0
1972-12-03 23:00:00,Abkommen mit der EWG,1,1
1973-03-04 00:00:00,Bildungsartikel,1,0
1973-03-04 01:00:00,Verfassungsartikel zur wissenschaftlichen Forschung,1,1
1973-05-20 02:00:00,Aufhebung des Jesuiten- und des Klosterartikels,1,1
1973-12-02 03:00:00,Massnahmen zur Preisüberwachung,1,1
1973-12-02 04:00:00,Massnahmen auf dem Gebiet des Kreditwesens,1,1
1973-12-02 05:00:00,Massnahmen zur Stabilisierung des Baumarktes,1,1
1973-12-02 06:00:00,Einschränkung der steuerwirksamen Abschreibungen,1,1
